id,"name","data_id","address","tag","price","time","off","tel",lat,lng,"url","service_1","service_2","service_3",created_at,updated_at
8,"ドッグラン３９","39","山口県周南市戸田","syuunan", "500円","10:00～16:00","月・水・金","080-9794-1050",34.07353,131.6774,"https://dogrun39.com", "cafe","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

9,"Animal Resort HARERUYA","hareruya","山口県下関市豊北町大字阿川3761","shimonoseki","500円", "11:00～17:00","不定休","083-227-3108",34.339989,130.924063,"https://animal-resort.jp/dogrun/", "cafe","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

10,"ドッグランドしものせき","dogland","山口県下関市清255-2","shimonoseki","500円","月～日｜10:00～16:00","年中無休","070-1909-9927",34.019547,130.991098,"https://orange-park.net/","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

11,"池ヶ丘ドッグランBBQ公園","ikegaoka","山口県下関市延行268-1","shimonoseki","1名: 500円 1頭 :500円","6:00～20:00","年中無休",050-5463-7177,34.013752,130.93888,"https://www.ikegaoka.com/", "cafe","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

12,"ソル・ポニエンテ","solu","山口県山陽小野田市きららビーチ焼野","ubeonoda","平日：500円　土日祝：700円","11:00～18:00","年中無休","0836-89-0080",33.946953,131.165287,"https://sol-poniente.co.jp/cafe/", "cafe","","",2024-9-20 00:00:00, 2024-9-20 00:00:00

13,"glee green garden","ggg","山口県岩国市由宇町神東2107-1","iwakunihikari","1650円","10:00～17:00","金","0827-93-4667",33.992654,132.20377,"https://ggg-oneone.com/dog-run/?gad_source=1&gclid=Cj0KCQjwjNS3BhChARIsAOxBM6ogBniPYIOq115hJv5v-BjJ8JgR5Q9B2MHQLhI18-9BwI7USiGSb8AaAkfgEALw_wcB", "cafe","indoor","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

14,"ドッグランワンダーランド　アリス","alice","山口県岩国市関戸1-102-8","iwakunihikari","無料（入会金 : 2000円）","10:00～16:00" ,"水","0827-44-0111",34.183886,132.172255,"https://fujiju.com/article_dogrun/","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

15,"うるたま","urutama","山口県防府市大字田島1940-3","houhu","500円","土日｜9:00～17:00","不定休","080-6335-8779",34.028518,131.540774,"https://www.instagram.com/urutama.dog_run/", "cafe","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

16,"ドッグライフサポートセンターReliSt","relist","山口県防府市江泊1745-4","houhu","1時間 700円","10:00～19:00","金曜日","0835-28-9171",34.053473,131.610849,"https://www.dlsc-relist.com/","","indoor","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

17,"cafe bello","bello","山口県防府市富海956-1","houhu","500円","10:00～17:00","火・水","0835-57-2904",34.053005,131.648435,"https://www.instagram.com/cafe_bello_/", "cafe","","kasikiri", 2024-9-20 00:00:00, 2024-9-20 00:00:00

18,"守和さくらパーク","moriwa","山口県光市大字立野862-6","iwakunihikari","300円","9:00～17:00","年中無休","090-7162-3901",33.998821,131.970025,"https://sakura-park.moriwa.jp/#contents04","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

19,"萩ドッグラン","hagidog","萩市椿東1284-4（陶芸の村公園内）","hagi","100円"," 土日祝：8:00～16:00","12月29日～1月3日","080-2934-7811",34.407611,131.423066,"https://www.city.hagi.lg.jp/soshiki/51/h18189.html","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00

20,"柴の家ドッグラン","shibanoie","山口県山口市吉敷148-1","yamaguchi","600円","10：00～16：00","年中無休","083-920-4148",34.194658,131.407898,"https://shibanoie.jimdofree.com/","","","", 2024-9-20 00:00:00, 2024-9-20 00:00:00
